DATE,Year,CSUSHPISA,CSUSHPISA Average,GDP growth,Unemployment rates,inflation,Interest Rates,Population growth,net migration rate
1/1/2003,2003,128.461,133.7313333,0.03,0.06,0.02,0.04,0.01,3.7
2/1/2003,2003,129.355,,,,,,,
3/1/2003,2003,130.148,,,,,,,
4/1/2003,2003,130.884,,,,,,,
5/1/2003,2003,131.735,,,,,,,
6/1/2003,2003,132.649,,,,,,,
7/1/2003,2003,133.777,,,,,,,
8/1/2003,2003,134.969,,,,,,,
9/1/2003,2003,136.294,,,,,,,
10/1/2003,2003,137.531,,,,,,,
11/1/2003,2003,138.794,,,,,,,
12/1/2003,2003,140.179,,,,,,,
1/1/2004,2004,141.646,150.44025,0.04,0.06,0.03,0.04,0.01,3.679
2/1/2004,2004,143.192,,,,,,,
3/1/2004,2004,145.059,,,,,,,
4/1/2004,2004,146.593,,,,,,,
5/1/2004,2004,148.186,,,,,,,
6/1/2004,2004,149.85,,,,,,,
7/1/2004,2004,151.338,,,,,,,
8/1/2004,2004,152.633,,,,,,,
9/1/2004,2004,154.179,,,,,,,
10/1/2004,2004,155.75,,,,,,,
11/1/2004,2004,157.527,,,,,,,
12/1/2004,2004,159.33,,,,,,,
1/1/2005,2005,161.288,171.737,0.03,0.05,0.03,0.04,0.01,3.658
2/1/2005,2005,163.344,,,,,,,
3/1/2005,2005,165.812,,,,,,,
4/1/2005,2005,167.501,,,,,,,
5/1/2005,2005,169.351,,,,,,,
6/1/2005,2005,171.19,,,,,,,
7/1/2005,2005,172.86,,,,,,,
8/1/2005,2005,174.442,,,,,,,
9/1/2005,2005,176.438,,,,,,,
10/1/2005,2005,178.028,,,,,,,
11/1/2005,2005,179.68,,,,,,,
12/1/2005,2005,180.91,,,,,,,
1/1/2006,2006,182.321,183.4475,0.03,0.05,0.03,0.05,0.01,3.637
2/1/2006,2006,183.287,,,,,,,
3/1/2006,2006,184.364,,,,,,,
4/1/2006,2006,184.329,,,,,,,
5/1/2006,2006,184.156,,,,,,,
6/1/2006,2006,183.507,,,,,,,
7/1/2006,2006,183.068,,,,,,,
8/1/2006,2006,182.594,,,,,,,
9/1/2006,2006,182.798,,,,,,,
10/1/2006,2006,183.198,,,,,,,
11/1/2006,2006,183.609,,,,,,,
12/1/2006,2006,184.139,,,,,,,
1/1/2007,2007,184.517,179.9189167,0.02,0.05,0.03,0.05,0.01,3.616
2/1/2007,2007,184.598,,,,,,,
3/1/2007,2007,184.15,,,,,,,
4/1/2007,2007,183.01,,,,,,,
5/1/2007,2007,181.6,,,,,,,
6/1/2007,2007,180.254,,,,,,,
7/1/2007,2007,179.111,,,,,,,
8/1/2007,2007,178.116,,,,,,,
9/1/2007,2007,177.558,,,,,,,
10/1/2007,2007,176.624,,,,,,,
11/1/2007,2007,175.147,,,,,,,
12/1/2007,2007,174.342,,,,,,,
1/1/2008,2008,173.132,164.0574167,0,0.06,0.04,0.04,0.01,3.595
2/1/2008,2008,171.541,,,,,,,
3/1/2008,2008,170.053,,,,,,,
4/1/2008,2008,168.338,,,,,,,
5/1/2008,2008,166.659,,,,,,,
6/1/2008,2008,165.017,,,,,,,
7/1/2008,2008,163.566,,,,,,,
8/1/2008,2008,161.987,,,,,,,
9/1/2008,2008,160.308,,,,,,,
10/1/2008,2008,158.327,,,,,,,
11/1/2008,2008,156.142,,,,,,,
12/1/2008,2008,153.619,,,,,,,
1/1/2009,2009,151.507,148.5450833,-0.03,0.09,0,0.03,0.01,3.506
2/1/2009,2009,150.015,,,,,,,
3/1/2009,2009,148.66,,,,,,,
4/1/2009,2009,147.949,,,,,,,
5/1/2009,2009,147.694,,,,,,,
6/1/2009,2009,148.09,,,,,,,
7/1/2009,2009,148.41,,,,,,,
8/1/2009,2009,148.278,,,,,,,
9/1/2009,2009,148.025,,,,,,,
10/1/2009,2009,147.85,,,,,,,
11/1/2009,2009,148.134,,,,,,,
12/1/2009,2009,147.929,,,,,,,
1/1/2010,2010,147.396,144.6745,0.03,0.1,0.02,0.03,0.01,3.417
2/1/2010,2010,145.631,,,,,,,
3/1/2010,2010,145.859,,,,,,,
4/1/2010,2010,146.403,,,,,,,
5/1/2010,2010,146.394,,,,,,,
6/1/2010,2010,145.721,,,,,,,
7/1/2010,2010,144.991,,,,,,,
8/1/2010,2010,143.916,,,,,,,
9/1/2010,2010,143.019,,,,,,,
10/1/2010,2010,142.531,,,,,,,
11/1/2010,2010,142.173,,,,,,,
12/1/2010,2010,142.06,,,,,,,
1/1/2011,2011,141.521,139.2595,0.02,0.09,0.03,0.03,0.01,3.329
2/1/2011,2011,140.35,,,,,,,
3/1/2011,2011,139.981,,,,,,,
4/1/2011,2011,140.01,,,,,,,
5/1/2011,2011,139.905,,,,,,,
6/1/2011,2011,139.862,,,,,,,
7/1/2011,2011,139.73,,,,,,,
8/1/2011,2011,139.309,,,,,,,
9/1/2011,2011,138.668,,,,,,,
10/1/2011,2011,137.952,,,,,,,
11/1/2011,2011,137.152,,,,,,,
12/1/2011,2011,136.674,,,,,,,
1/1/2012,2012,136.607,140.9939167,0.02,0.08,0.02,0.02,0.01,3.24
2/1/2012,2012,136.533,,,,,,,
3/1/2012,2012,137.904,,,,,,,
4/1/2012,2012,139.154,,,,,,,
5/1/2012,2012,140.155,,,,,,,
6/1/2012,2012,141.03,,,,,,,
7/1/2012,2012,141.669,,,,,,,
8/1/2012,2012,142.279,,,,,,,
9/1/2012,2012,142.908,,,,,,,
10/1/2012,2012,143.6,,,,,,,
11/1/2012,2012,144.585,,,,,,,
12/1/2012,2012,145.503,,,,,,,
1/1/2013,2013,146.827,154.52075,0.02,0.07,0.01,0.02,0.01,3.151
2/1/2013,2013,147.784,,,,,,,
3/1/2013,2013,149.963,,,,,,,
4/1/2013,2013,151.519,,,,,,,
5/1/2013,2013,152.85,,,,,,,
6/1/2013,2013,154.2,,,,,,,
7/1/2013,2013,155.604,,,,,,,
8/1/2013,2013,156.965,,,,,,,
9/1/2013,2013,158.227,,,,,,,
10/1/2013,2013,159.242,,,,,,,
11/1/2013,2013,160.074,,,,,,,
12/1/2013,2013,160.994,,,,,,,
1/1/2014,2014,161.927,164.6984167,0.02,0.06,0.02,0.03,0.01,3.107
2/1/2014,2014,162.525,,,,,,,
3/1/2014,2014,163.086,,,,,,,
4/1/2014,2014,163.393,,,,,,,
5/1/2014,2014,163.66,,,,,,,
6/1/2014,2014,164.064,,,,,,,
7/1/2014,2014,164.579,,,,,,,
8/1/2014,2014,165.215,,,,,,,
9/1/2014,2014,165.905,,,,,,,
10/1/2014,2014,166.641,,,,,,,
11/1/2014,2014,167.335,,,,,,,
12/1/2014,2014,168.051,,,,,,,
1/1/2015,2015,168.634,172.1818333,0.03,0.05,0,0.02,0.01,3.062
2/1/2015,2015,169.129,,,,,,,
3/1/2015,2015,169.799,,,,,,,
4/1/2015,2015,170.298,,,,,,,
5/1/2015,2015,170.88,,,,,,,
6/1/2015,2015,171.471,,,,,,,
7/1/2015,2015,172.133,,,,,,,
8/1/2015,2015,172.936,,,,,,,
9/1/2015,2015,173.828,,,,,,,
10/1/2015,2015,174.792,,,,,,,
11/1/2015,2015,175.738,,,,,,,
12/1/2015,2015,176.544,,,,,,,
1/1/2016,2016,177.274,180.9255833,0.02,0.05,0.01,0.02,0.01,3.018
2/1/2016,2016,177.649,,,,,,,
3/1/2016,2016,178.164,,,,,,,
4/1/2016,2016,178.766,,,,,,,
5/1/2016,2016,179.429,,,,,,,
6/1/2016,2016,180.084,,,,,,,
7/1/2016,2016,180.834,,,,,,,
8/1/2016,2016,181.85,,,,,,,
9/1/2016,2016,182.823,,,,,,,
10/1/2016,2016,183.75,,,,,,,
11/1/2016,2016,184.759,,,,,,,
12/1/2016,2016,185.725,,,,,,,
1/1/2017,2017,186.805,191.398,0.02,0.04,0.02,0.02,0.01,2.973
2/1/2017,2017,187.313,,,,,,,
3/1/2017,2017,187.992,,,,,,,
4/1/2017,2017,188.724,,,,,,,
5/1/2017,2017,189.616,,,,,,,
6/1/2017,2017,190.513,,,,,,,
7/1/2017,2017,191.45,,,,,,,
8/1/2017,2017,192.663,,,,,,,
9/1/2017,2017,193.759,,,,,,,
10/1/2017,2017,194.805,,,,,,,
11/1/2017,2017,195.958,,,,,,,
12/1/2017,2017,197.178,,,,,,,
1/1/2018,2018,198.314,202.47775,0.03,0.04,0.02,0.03,0.01,2.929
2/1/2018,2018,199.227,,,,,,,
3/1/2018,2018,199.961,,,,,,,
4/1/2018,2018,200.655,,,,,,,
5/1/2018,2018,201.423,,,,,,,
6/1/2018,2018,202.237,,,,,,,
7/1/2018,2018,202.907,,,,,,,
8/1/2018,2018,203.688,,,,,,,
9/1/2018,2018,204.353,,,,,,,
10/1/2018,2018,205.12,,,,,,,
11/1/2018,2018,205.679,,,,,,,
12/1/2018,2018,206.169,,,,,,,
1/1/2019,2019,206.539,209.4651667,0.02,0.04,0.02,0.02,0.01,2.893
2/1/2019,2019,206.848,,,,,,,
3/1/2019,2019,207.047,,,,,,,
4/1/2019,2019,207.506,,,,,,,
5/1/2019,2019,208.138,,,,,,,
6/1/2019,2019,208.659,,,,,,,
7/1/2019,2019,209.262,,,,,,,
8/1/2019,2019,210.102,,,,,,,
9/1/2019,2019,210.913,,,,,,,
10/1/2019,2019,211.808,,,,,,,
11/1/2019,2019,212.805,,,,,,,
12/1/2019,2019,213.955,,,,,,,
1/1/2020,2020,214.994,222.1458333,-0.03,0.08,0.01,0.01,0,2.857
2/1/2020,2020,215.837,,,,,,,
3/1/2020,2020,216.365,,,,,,,
4/1/2020,2020,216.801,,,,,,,
5/1/2020,2020,216.987,,,,,,,
6/1/2020,2020,217.63,,,,,,,
7/1/2020,2020,219.322,,,,,,,
8/1/2020,2020,222.424,,,,,,,
9/1/2020,2020,225.853,,,,,,,
10/1/2020,2020,229.781,,,,,,,
11/1/2020,2020,233.235,,,,,,,
12/1/2020,2020,236.521,,,,,,,
1/1/2021,2021,239.559,260.04925,0.06,0.05,0.05,0.02,0,2.82
2/1/2021,2021,242.325,,,,,,,
3/1/2021,2021,245.402,,,,,,,
4/1/2021,2021,249.055,,,,,,,
5/1/2021,2021,253.426,,,,,,,
6/1/2021,2021,258.381,,,,,,,
7/1/2021,2021,262.707,,,,,,,
8/1/2021,2021,266.921,,,,,,,
9/1/2021,2021,270.402,,,,,,,
10/1/2021,2021,273.769,,,,,,,
11/1/2021,2021,277.251,,,,,,,
12/1/2021,2021,281.393,,,,,,,
1/1/2022,2022,285.921,298.4883333,0.02,0.04,0.08,0.03,0,2.784
2/1/2022,2022,291.09,,,,,,,
3/1/2022,2022,296.353,,,,,,,
4/1/2022,2022,300.55,,,,,,,
5/1/2022,2022,303.796,,,,,,,
6/1/2022,2022,304.755,,,,,,,
7/1/2022,2022,303.714,,,,,,,
8/1/2022,2022,301.596,,,,,,,
9/1/2022,2022,299.38,,,,,,,
10/1/2022,2022,298.922,,,,,,,
11/1/2022,2022,298.312,,,,,,,
12/1/2022,2022,297.471,,,,,,,
1/1/2023,2023,297.025,302.066875,0.05,0.04,0.04,0.04,0.01,2.748
2/1/2023,2023,297.464,,,,,,,
3/1/2023,2023,298.539,,,,,,,
4/1/2023,2023,300.198,,,,,,,
5/1/2023,2023,302.62,,,,,,,
6/1/2023,2023,304.651,,,,,,,
7/1/2023,2023,306.634,,,,,,,
8/1/2023,2023,309.404,,,,,,,
